[2020-03-31 20:57:04.310349] Update: 0 / 1953, Frames: 1024, Rewards: 0.000, Min: 0.000, Max: 0.000, PL: -0.000,VL: 0.004, Ent: 2.944
[2020-03-31 20:59:06.740769] Update: 10 / 1953, Frames: 11264, Rewards: 0.500, Min: 0.000, Max: 1.000, PL: -0.004,VL: 0.038, Ent: 2.875
[2020-03-31 21:01:18.838428] Update: 20 / 1953, Frames: 21504, Rewards: 0.625, Min: 0.000, Max: 1.000, PL: -0.017,VL: 0.030, Ent: 2.043
[2020-04-04 17:09:38.720458] Update: 0 / 1953, Frames: 1024, Rewards: 0.125, Min: 0.000, Max: 1.000, PL: -0.000,VL: 0.015, Ent: 2.944
[2020-04-04 17:12:08.973339] Update: 10 / 1953, Frames: 11264, Rewards: 0.125, Min: 0.000, Max: 1.000, PL: -0.027,VL: 0.010, Ent: 2.896
[2020-04-05 15:37:14.629574] Update: 0 / 1953, Frames: 1024, Rewards: 0.125, Min: -1.000, Max: 1.000, PL: -0.000,VL: 0.021, Ent: 2.944
[2020-04-05 15:39:29.105231] Update: 10 / 1953, Frames: 11264, Rewards: 0.375, Min: -1.000, Max: 1.000, PL: -0.014,VL: 0.039, Ent: 2.895
[2020-04-05 15:41:50.422618] Update: 20 / 1953, Frames: 21504, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.014,VL: 0.032, Ent: 1.890
[2020-04-05 15:44:17.237493] Update: 30 / 1953, Frames: 31744, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.011,VL: 0.020, Ent: 1.739
[2020-04-05 15:47:05.273291] Update: 40 / 1953, Frames: 41984, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.012,VL: 0.007, Ent: 1.542
[2020-04-05 15:50:23.565574] Update: 50 / 1953, Frames: 52224, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.002,VL: 0.007, Ent: 1.574
[2020-04-05 15:54:00.754073] Update: 60 / 1953, Frames: 62464, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.019,VL: 0.019, Ent: 1.809
[2020-04-05 15:56:28.080462] Update: 70 / 1953, Frames: 72704, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.004, Ent: 1.793
[2020-04-05 15:59:29.028015] Update: 80 / 1953, Frames: 82944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.030,VL: 0.012, Ent: 1.742
[2020-04-05 16:02:35.532060] Update: 90 / 1953, Frames: 93184, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.021,VL: 0.018, Ent: 1.994
[2020-04-05 16:05:40.070059] Update: 100 / 1953, Frames: 103424, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.018,VL: 0.008, Ent: 1.859
[2020-04-05 16:08:35.736102] Update: 110 / 1953, Frames: 113664, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.006,VL: 0.008, Ent: 1.908
[2020-04-05 16:11:38.146877] Update: 120 / 1953, Frames: 123904, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.002,VL: 0.003, Ent: 2.240
[2020-04-05 16:14:44.446514] Update: 130 / 1953, Frames: 134144, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.005, Ent: 2.280
[2020-04-05 16:17:44.763087] Update: 140 / 1953, Frames: 144384, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.020,VL: 0.015, Ent: 2.273
[2020-04-05 16:20:43.586694] Update: 150 / 1953, Frames: 154624, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.032,VL: 0.003, Ent: 1.915
[2020-04-05 16:23:46.938530] Update: 160 / 1953, Frames: 164864, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.011, Ent: 2.113
[2020-04-05 16:26:48.421364] Update: 170 / 1953, Frames: 175104, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.057,VL: 0.020, Ent: 2.054
[2020-04-05 16:29:54.516813] Update: 180 / 1953, Frames: 185344, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.026,VL: 0.021, Ent: 2.013
[2020-04-05 16:32:56.335064] Update: 190 / 1953, Frames: 195584, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.039,VL: 0.031, Ent: 2.059
[2020-04-05 16:36:04.709066] Update: 200 / 1953, Frames: 205824, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.002,VL: 0.027, Ent: 1.816
[2020-04-05 16:39:14.379595] Update: 210 / 1953, Frames: 216064, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.004,VL: 0.002, Ent: 2.011
[2020-04-05 16:42:26.280659] Update: 220 / 1953, Frames: 226304, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.016,VL: 0.009, Ent: 1.916
[2020-04-05 16:45:28.375807] Update: 230 / 1953, Frames: 236544, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.033,VL: 0.014, Ent: 1.991
[2020-04-05 16:48:33.992594] Update: 240 / 1953, Frames: 246784, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.005,VL: 0.001, Ent: 1.755
[2020-04-05 16:51:40.410886] Update: 250 / 1953, Frames: 257024, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.023,VL: 0.001, Ent: 1.713
[2020-04-05 16:54:47.327009] Update: 260 / 1953, Frames: 267264, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.002,VL: 0.018, Ent: 2.103
[2020-04-05 16:57:45.827919] Update: 270 / 1953, Frames: 277504, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.017,VL: 0.001, Ent: 2.219
[2020-04-05 17:00:51.833133] Update: 280 / 1953, Frames: 287744, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.009,VL: 0.001, Ent: 2.158
[2020-04-05 17:03:55.207725] Update: 290 / 1953, Frames: 297984, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.015,VL: 0.024, Ent: 2.341
[2020-04-05 17:06:56.546424] Update: 300 / 1953, Frames: 308224, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.016, Ent: 2.563
[2020-04-05 17:09:56.825718] Update: 310 / 1953, Frames: 318464, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.004,VL: 0.014, Ent: 2.004
[2020-04-05 17:12:56.016621] Update: 320 / 1953, Frames: 328704, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.011,VL: 0.021, Ent: 2.026
[2020-04-05 17:15:45.709303] Update: 330 / 1953, Frames: 338944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.029, Ent: 2.292
[2020-04-05 17:18:32.626887] Update: 340 / 1953, Frames: 349184, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.023,VL: 0.001, Ent: 1.930
